Descrição,Grupo,Unidade de Medida,Código de Barras,NCM,Preço de Compra,Preço de Venda
Heineken 600ml,Cervejas,,,2203.00.00,,"19,00"
Original 600ml,Cervejas,,,2203.00.00,,"16,00"
Amstel 600ml,Cervejas,,,2203.00.00,,"15,00"
Eisenbahn 600ml,Cervejas,,,2203.00.00,,"16,00"
Serramalte 600ml,Cervejas,,,2203.00.00,,"16,00"
Long neck 330ml,Cervejas,,,2203.00.00,,"12,00"
Lata 330ml,Cervejas,,,2203.00.00,,"10,00"
Cachaça de Canela,Dose,,,2208.40.00,,"7,00"
Salinas,Dose,,,2208.40.00,,"10,00"
Campari,Dose,,,2208.90.00,,"20,00"
Campari Com Laranja,Dose,,,2208.90.00,,"35,00"
Gim Tanqueray,Dose,,,2208.50.00,,"25,00"
Johnny Walker Black Label 12,Dose,,,2208.30.90,,"30,00"
Chivas 12 anos,Dose,,,2208.30.90,,"30,00"
Jack Daniels,Dose,,,2208.30.90,,"30,00"
Jack Daniels Honey,Dose,,,2208.30.90,,"30,00"
Absolut,Dose,,,2208.60.00,,"30,00"
Smirnoff,Dose,,,2208.60.00,,"20,00"
Caipirinha Copo Cachaça,Drinks,,,2208.40.00,,"24,90"
Caipirinha Taça Cachaça,Drinks,,,2208.40.00,,"33,90"
Caipirinha Vodka Smirnoff Copo,Drinks,,,2208.60.00,,"29,90"
Caipirinha Vodka Smirnoff Taça,Drinks,,,2208.60.00,,"39,90"
Caipirinha Vodka Absolut Copo,Drinks,,,2208.60.00,,"36,90"
Caipirinha Vodka Absolut Taça,Drinks,,,2208.60.00,,"49,90"
Dose Whisky/Energético,Drinks,,,2208.30.90,,"45,90"
Dose Gim Tanqueray/ Schweppes,Drinks,,,2208.50.00,,"42,90"
Dose Jack Daniels/ Coca Ks,Drinks,,,2208.30.90,,"38,90"
Combo Gim Tanqueray + 3 Energéticos,Combos,,,2106.90.90,,"350,00"
Combo Jack Daniels 750ml + 3 Energéticos,Combos,,,2106.90.90,,"300,00"
Combo Red Label 1 Litro + 3 Energéticos,Combos,,,2106.90.90,,"230,00"
Combo Absolut 1 Litro + 3 Energéticos,Combos,,,2106.90.90,,"350,00"
Garrafa Jack Daniels 750ml,Garrafa,,,2208.30.90,,"250,00"
Garrafa Jack Daniels Honey 750ml,Garrafa,,,2208.30.90,,"250,00"
Garrafa Chivas 1 litro,Garrafa,,,2208.30.90,,"300,00"
Garrafa de Vinho (A partir de),Garrafa,,,2204.21.00,,"70,00"
Garrafa Gim Tanqueray,Garrafa,,,2208.50.00,,"300,00"
