Descrição,Grupo,Unidade de Medida,Código de Barras,NCM,Preço de Compra,Preço de Venda
Halls Preto,Bomboniere,,,1704.90.20,,"R$ 3,50"
Halls Melancia,Bomboniere,,,1704.90.20,,"R$ 3,50"
Halls Mentol,Bomboniere,,,1704.90.20,,"R$ 3,50"
Trident Menta,Bomboniere,,,1704.10.00,,"R$ 4,00"
Cocada Prove,Bomboniere,,,1704.90.90,,"R$ 6,50"
Paçoquinha,Bomboniere,,,2008.11.00,,"R$ 1,50"
Snickers,Bomboniere,,,1806.31.10,,"R$ 7,50"
Bananinha,Bomboniere,,,2008.99.00,,"R$ 10,00"
Bombom,Bomboniere,,,1806.90.00,,"R$ 2,50"
Balas (Unidade),Bomboniere,,,1704.90.20,,"R$ 0,30"
